RoundTime,RoundTimeLeft,IsBombPlanted,CTEquipmentValue,TEquipmentValue,CTPlayersAlive,TPlayersAlive,CTNumHelmets,TNumHelmets,CTNumArmors,TNumArmors,CTNumDefuseKits,CTNumSmokes,TNumSmokes,CTNumMollies,TNumMollies,CTNumHEGrenades,TNumHEGrenades,CTNumFlashes,TNumFlashes,winner,CTScore,TScore
71,27,1,27650,23600,3,3,3,3,3,3,2,0,0,1,0,0,0,2,0,0,0,5
72,43,0,30950,10500,5,3,5,2,5,3,5,0,0,1,0,0,0,3,0,1,8,6
72,43,0,30250,24250,4,4,4,3,4,4,4,0,1,1,0,1,0,2,1,1,9,6
72,43,0,30750,25300,5,5,5,5,5,5,3,0,1,0,1,1,0,1,1,1,16,13
73,42,0,26900,24400,5,5,5,5,5,5,4,0,0,1,1,1,1,1,0,0,4,6
73,42,0,30250,24250,4,3,4,3,4,3,4,0,1,1,0,1,0,2,1,1,9,6
73,42,0,28300,22650,4,1,4,1,4,1,4,1,0,1,0,0,0,1,1,1,15,12
74,41,0,22200,20100,5,5,5,5,5,5,3,2,2,0,1,0,0,0,1,0,8,10
75,25,1,4650,4550,2,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
75,40,1,10150,17700,1,3,0,3,1,3,0,0,1,0,0,0,0,0,1,0,0,2
75,40,0,30750,24500,5,4,5,4,5,4,3,0,0,0,1,1,0,1,0,1,16,13
76,39,0,25150,4150,5,5,5,0,5,1,4,0,0,0,0,0,0,1,0,1,4,5
76,39,0,30250,24250,4,2,4,2,4,2,4,0,0,1,0,1,0,2,1,1,9,6
76,39,0,24900,20950,3,1,2,1,3,1,1,0,1,1,1,1,0,2,0,1,10,12
76,39,0,30750,24500,5,3,5,3,5,3,3,0,0,0,0,1,0,1,0,1,16,13
77,24,1,4650,4550,2,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
77,38,0,25150,4150,5,4,5,0,5,0,4,0,0,0,0,0,0,1,0,1,4,5
